,mean_b,var_b,skew_b,kurt_b,entr_b,mean_g,var_g,skew_g,kurt_g,entr_g,mean_r,var_r,skew_r,kurt_r,entr_r,major_axis_length,minor_axis_length,area,perimeter,roundness,aspect_ratio,class,class_int
92,198.32398165632588,3969.571054230038,-2.556902168226933,5.406074435775901,6.008189488282685,191.68829241974643,3751.0119562694945,-2.502593180598624,5.226828420340464,6.021411652023072,212.92581602373886,497.01607753076024,0.24667808008713854,-0.7858638105029834,6.010071126486758,153.8038787841797,65.79612731933594,7573.0,375.50461316108704,0.6749121822531391,2.337582545515264,Arb,0.0
93,177.5856591448931,3570.5306672614897,-2.5164904054164277,4.699445211589808,5.377606662844381,171.28488717339667,3351.4626338352514,-2.4745626988425724,4.5700370394853875,5.518410044502241,195.97372327790973,526.9516551395769,1.3580553197910328,1.6971496409853586,5.486131553899054,130.01132202148438,67.2511215209961,6884.0,346.87719786167145,0.7189508826499021,1.9332216189271174,Arb,0.0
94,215.73117326920644,4337.021011520542,-2.8583455160871543,6.538364066164517,5.3664066378291775,209.83748892545248,4151.90245991397,-2.8010124440940927,6.32175924245718,5.5412486334708095,230.58169851917478,225.23180782253797,-0.6159142929486952,0.13727613528016924,5.4883238241153505,142.9877471923828,72.92338562011719,8065.0,374.73506128787994,0.7217147447258205,1.960794139993099,Arb,0.0
95,194.80666666666667,3996.3135851851853,-2.5195552136659383,5.064442151613621,5.6764586921811615,188.84237037037036,3796.5164862331967,-2.471028045681888,4.8973115237424985,5.702995330837926,211.28903703703705,489.6146798134431,0.08879747197202588,-0.4464126006536371,5.662251015936986,120.54142761230469,74.7541732788086,6898.5,342.49242067337036,0.7390309090095938,1.6125043235074599,Arb,0.0
96,211.55106272680146,4653.681555376574,-2.638447619434091,5.411049461219699,5.552977317596617,206.52734577501295,4469.687043810455,-2.6015746299154667,5.287055459245151,5.6333259245127,229.76308968377398,268.1755997851139,-0.212038692085259,-1.081709875149993,5.588073384021195,138.29733276367188,72.65348052978516,7874.5,363.3208485841751,0.7496390672482962,1.903519717915995,Arb,0.0
97,215.7171744046827,3940.5899578002336,-2.9414901426992217,7.346126250074679,5.650707160892163,208.9864307569509,3749.106374343117,-2.8711132088057023,7.0776378062127545,5.769724137298674,228.9048822668618,309.00532005065935,-0.28892649935940995,-1.0746530838103083,5.734584535651501,136.0511932373047,75.32075500488281,7666.0,356.3330411911011,0.7586937214404585,1.806290885274383,Arb,0.0
98,205.14714553738943,4341.293813213609,-2.642892024449983,5.458959134574647,5.64976144782188,202.87791476815866,4264.309539045,-2.621925147119994,5.38867853879643,5.704423731070733,226.85741088180112,281.55538530933205,-0.21677045865109376,-0.5533757838928537,5.700368068832707,149.480712890625,67.65357971191406,7627.0,387.50461399555206,0.6382779689693505,2.2095018996356353,Arb,0.0
99,205.354948375724,3604.1277260801853,-2.874800349068455,7.0859231660185955,5.831603841884226,206.56862251322084,3677.7522161584357,-2.8343280036056355,6.921123562833193,5.88238265145677,226.29085872576178,356.94713124445866,-0.5781796542185507,-0.4888856033649991,5.860363803271613,142.80990600585938,74.84435272216797,8104.5,371.3208484649658,0.7386478232640333,1.9080919376240508,Arb,0.0
100,212.9272151898734,6340.3667638542365,-2.273856339816644,3.2498035234610168,4.695553374449715,194.28676913803497,5352.880843630247,-2.2100527112118855,3.0928105852918266,5.3262613156486385,225.90024110910187,240.63380946567588,0.5451502766134163,-0.7430870309578608,5.311506459106751,213.85780334472656,42.30226135253906,6834.5,452.4335457086563,0.41957249987109274,5.055469767029143,bas,
101,225.44494511842865,5191.858291894736,-2.78281074154086,5.826504038976298,4.201347699901718,199.74939341421143,4156.324602462788,-2.678506497671659,5.5076331216754895,5.281672100166056,224.07071057192374,207.26663490814354,0.8013201358538145,0.15113774062216123,5.223957311146086,216.9776153564453,55.499366760253906,8843.0,473.2691184282303,0.496127334055925,3.90955118990357,bas,
